galaxy,n_pts,a0_simple,rms_simple,a0_mcgaugh,rms_mcgaugh,cpx5_a,cpx5_b,rms_cpx5,gas_frac,log_SB,V_max,D_mpc
F568-V1,15,1.2e-10,0.2653820465789732,1.2e-10,0.26620802405333194,-21.354115016258607,-123.94284540786305,0.11943434249538121,0.01702638895024948,0.9712758487381052,118.0,80.6
F571-8,13,1.2e-10,0.37534945008829174,1.2e-10,0.37055748601490923,-10.02949782002047,2.0152639443692806,0.1377066802836712,0.0020710844975321474,0.9299295600845878,144.0,53.3
F571-V1,7,1.2e-10,0.10502092955312269,1.2e-10,0.10448869103284757,-15.81767448378251,-58.40410558554593,0.06612709701220931,0.04604287971820295,0.320146286111054,84.3,80.1
F574-1,14,1.2e-10,0.11975076753415699,1.2e-10,0.12010314039111931,-18.81994175877573,-93.40591739747896,0.11098187872683063,0.012582607805797206,1.0838608008665729,99.7,96.8
F574-2,5,1.2e-10,0.7445750208502351,1.2e-10,0.7441004846344494,-19.659807029028673,-94.74500381536633,0.07252248710323048,0.033268056351720546,0.8312296938670634,40.0,89.1
F579-V1,14,1.2e-10,0.22896336674778064,1.2e-10,0.23025061087129703,-25.641281074374007,-168.56126584176226,0.1319572378361971,0.00750183332920116,1.4740705032150436,114.0,89.5
F583-1,25,1.2e-10,0.22662009199696634,1.2e-10,0.22662528865667408,-0.6218895318656266,116.003348865762,0.1869733755038824,0.04468589116842395,0.7817553746524689,86.9,35.4
F583-4,12,1.2e-10,0.079591363771379,1.2e-10,0.07886779386025095,-16.3512455959896,-64.558460565953,0.029632080224544267,0.01460870168491014,0.8767949762007006,69.9,53.3
IC2574,34,1.2e-10,0.28658477443189023,1.2e-10,0.28623129253320695,-29.91587031845353,-218.82203191845952,0.08169625378333152,0.0500951484694764,0.6196150057428064,67.5,3.91
IC4202,32,1.2e-10,0.23704518740930566,1.2e-10,0.2324930912512681,-12.526139509718925,-26.87052967506932,0.17327549188740837,0.0009981176745294349,1.8882356732705672,250.0,100.4
KK98-251,15,1.2e-10,0.41346365816114217,1.2e-10,0.4129888933542969,-23.03743870111363,-137.22871290608873,0.04680483379214465,0.204197380299001,0.5877109650189114,34.6,6.8
NGC0024,29,1.2e-10,0.23607263040764015,1.2e-10,0.23960417616405724,-17.689458677748647,-81.96046881777185,0.09630214646243661,0.007769707589621061,2.046924174230035,110.0,7.3
NGC0055,21,1.2e-10,0.2090604960977775,1.2e-10,0.20770760992748447,-14.500725542621153,-42.93007714243073,0.052819991064900595,0.03886918514576559,0.8686444383948257,87.4,2.11
NGC0100,21,1.2e-10,0.19183800491919928,1.2e-10,0.191096332756646,-13.97430428534292,-38.29925702299565,0.16215305605051306,0.011630270350162284,0.9894498176666918,91.2,13.5
NGC0247,26,1.2e-10,0.05757407972004648,1.2e-10,0.05731157224391966,-20.764603831741123,-114.19896025790591,0.049051068071378615,0.01822749593853042,1.0382226383687185,108.0,3.7
NGC0289,28,1.2e-10,0.11335836293861937,1.2e-10,0.11295515514274136,-17.72068518687921,-79.3766469574017,0.04857480628583704,0.0045928932645995495,-0.2839966563652008,194.0,20.8
NGC0300,25,1.2e-10,0.0650972239791912,1.2e-10,0.06550386199882276,-15.571611025038012,-57.1692646568801,0.050640265780889406,0.017034987499796133,0.5998830720736879,97.0,2.08
NGC0801,13,1.2e-10,0.1354152644809251,1.2e-10,0.1336968923448847,-18.07942986072831,-82.37744988997862,0.06671683662406523,0.001361487817975527,1.6813317059691657,238.0,80.7
NGC0891,18,1.2e-10,0.11976265215317267,1.2e-10,0.10852554320831756,-16.282963367280573,-64.4256242763579,0.06124040206179938,0.000651198447650364,1.6819644589946832,234.0,9.91
NGC1003,36,1.2e-10,0.08288426642408804,1.2e-10,0.08145460875223524,-15.598504232164839,-56.23439637878556,0.035572832368077054,0.019616983250440014,-1.0,115.0,11.4
NGC1090,24,1.2e-10,0.17332561626251888,1.2e-10,0.16975576939273485,-15.90922871778748,-59.80118843189705,0.12498534152157015,0.0030704409571567413,1.072801149409849,176.0,37.0
NGC1705,14,1.2e-10,0.24823445971376418,1.2e-10,0.2504194400502674,-16.886594985075952,-74.05796636407858,0.03510881386180861,0.028982710447544413,-0.721246399047171,73.2,5.73
NGC2366,26,1.2e-10,0.26911390353636566,1.2e-10,0.26836966196194073,-21.305597491798046,-118.20526259863415,0.11309533559306337,0.10325837197431997,-0.10513034325474745,53.7,3.27
NGC2403,73,1.2e-10,0.048490880806204006,1.2e-10,0.05067724085838005,-16.266894500031672,-65.08038166977829,0.033877119791230426,0.007106339873744969,1.7195798577137233,136.0,3.16
NGC2683,11,1.2e-10,0.07349959812979343,1.2e-10,0.07354215757764458,-17.60508929576559,-78.39968968615433,0.03808404339489633,0.0013950470101051935,-0.03621217265444471,212.0,9.81
