galaxy,n_pts,V_flat,V_max,M_b,M_gas,M_star,f_gas,g_bar_last,g_obs_last,D
UGC06923,6,79.6,81.1,2753382850.7531734,1139273942.0263348,1614108908.7268386,0.4137724405869283,1.441784345039496e-11,4.130839358249971e-11,18.0
UGC06930,10,108.0,109.0,11330995181.516848,6171182724.151194,5159812457.365654,0.5446284836673168,5.726139126131872e-12,2.2757480433961584e-11,18.0
UGC06973,9,178.33333333333334,180.0,31503099312.481773,1720847888.8018997,29782251423.679874,0.054624717134421324,7.127661633724832e-11,1.3375858103612948e-10,18.0
UGC06983,17,108.33333333333333,113.0,8772042467.225286,5857757173.902068,2914285293.323218,0.6677757427404424,4.974411567216251e-12,2.4555751911549856e-11,18.0
UGC07089,12,76.8,79.1,3687889230.3320246,1483940613.752909,2203948616.5791154,0.4023821001856144,6.1280179184073935e-12,2.2136236842920847e-11,18.0
UGC07125,13,65.16666666666667,65.6,6640670943.9032135,5156091453.765198,1484579490.1380153,0.7764413411417403,2.6533303380052726e-12,7.30733169287712e-12,19.8
UGC07151,11,74.23333333333333,76.2,2486825056.4099593,1023879279.7556002,1462945776.654359,0.41172147478427656,1.1461803568955916e-11,3.421318869742242e-11,6.87
UGC07261,7,74.73333333333333,76.1,2318104294.4900794,1351050971.0587716,967053323.4313079,0.5828257918636773,7.264645215714079e-12,2.813777672203532e-11,13.1
UGC07323,10,82.63333333333334,85.6,3622031063.4927764,1115848026.115799,2506183037.3769774,0.30807246170875485,1.4908683911273673e-11,4.0801003453799234e-11,8.0
UGC07399,10,103.0,106.0,1617013200.6076837,930155326.0847025,686857874.5229813,0.575230508777012,5.999647323302287e-12,5.940151964482163e-11,8.43
UGC07524,31,81.7,83.8,4792191254.530788,2967825530.8643556,1824365723.6664324,0.6193044837387109,5.846713829717476e-12,1.8920071655565082e-11,4.74
UGC07559,7,30.96666666666667,32.1,229504411.5349124,159134930.74957827,70369480.78533414,0.6933850625584621,4.998999592791996e-12,1.3198842396924437e-11,4.97
UGC07577,9,15.933333333333332,17.8,60347004.31912323,32673042.298333112,27673962.02079012,0.5414194568060675,2.9458824472423177e-12,6.075745858016931e-12,2.59
UGC07603,12,62.833333333333336,64.0,490407946.94873023,282954598.43205786,207453348.5166724,0.5769780041138677,4.047687365949214e-12,3.229716673577913e-11,4.7
UGC07608,8,65.56666666666666,69.3,793268043.3284887,646391589.9147966,146876453.4136921,0.814846375510842,4.840578546766478e-12,3.256003567814441e-11,8.21
UGC07690,7,56.9,60.7,947296080.9263214,481250764.63061416,466045316.2957072,0.5080257105677235,7.743169087176409e-12,2.4519965997959345e-11,8.11
