m_bar,vmax,r_vmax,g_bar,g_obs
493076468.851491,69.9841,14.595659875996457,3.227007049148901e-13,1.0874801261905248e-11
347490404.48774725,73.8756,9.714201358134043,5.134069218198496e-13,1.8207119404982825e-11
3321552996.7522883,90.4126,3.554472984942427,3.6654209378447445e-11,7.452963573057524e-11
3496309418.364334,88.528,3.2502214348981404,4.6144194113675773e-11,7.814382316027398e-11
583451431.9456747,73.4486,11.657366400944788,5.986002886946529e-13,1.499729370914853e-11
915721877.7679362,73.2713,10.193829347505167,1.2286324405135153e-12,1.7067768143254298e-11
449601417.1833481,69.0275,15.599940950693828,2.5758161886440823e-13,9.898460042894372e-12
525214053.7348686,69.3975,3.7950989075878363,5.0842072590955446e-12,4.1125467858378535e-11
3761706524.948332,88.3009,5.489075878358429,1.74068243757354e-11,4.603385287981068e-11
2246412754.6501327,81.441,3.630056096840862,2.3768183360609934e-11,5.921328541991371e-11
1394405078.2403307,68.6019,10.992471213463242,1.6089086535185701e-12,1.3874688791896302e-11
605653971.06584,68.9905,13.505462060820786,4.629550015363345e-13,1.1421297317009081e-11
80380868.0248007,62.4554,13.02317685267198,6.607724403719483e-14,9.70664953877957e-12
5415633303.808681,171.579,0.37850605255388253,5.270316526282778e-09,2.5205872529313542e-09
729908473.5754355,80.1797,6.820637732506643,2.1875175434548948e-12,3.054570619368019e-11
3303557720.6967816,85.0861,4.367581930912312,2.414531546116418e-11,5.371832650077233e-11
3012769412.4594035,92.7194,4.950841452612932,1.7137243283445625e-11,5.627409327566687e-11
1525435488.6330085,72.2981,6.516976675524063,5.007657509130362e-12,2.5992850034881796e-11
1797519929.1408327,63.488,7.520224387363448,4.431443550671254e-12,1.736995896900922e-11
2236492471.2134633,83.3921,3.109388839681134,3.2251541375501446e-11,7.24804840436435e-11
2909049306.170653,75.7446,6.550487156775907,9.452288946303992e-12,2.8384160437096385e-11
442545025.09595513,66.1011,16.235163861824624,2.340869569897838e-13,8.721817531639717e-12
4913537053.439622,238.207,0.18054325361677,2.1016713877344786e-08,1.0185305831209357e-08
312105107.7649838,67.0914,8.689695896073221,5.762684267174564e-13,1.6787090438550664e-11
822704458.2226158,68.3956,15.4096545615589,4.830489584564829e-13,9.83806581857551e-12
1299852376.7345734,80.2902,9.549453793917921,1.9873303956839198e-12,2.187725592302567e-11
2469072925.8931203,87.9084,3.9341600236197225,2.224144405599637e-11,6.365829899389239e-11
1236123413.0498965,57.4216,18.465456155890166,5.054461082017509e-13,5.786778217061856e-12
120357248.30233245,64.0759,14.018895777974608,8.53842448278943e-14,9.491217424481133e-12
5258222615.884264,171.384,0.44419840566873336,3.715506998386192e-09,2.1429392213432618e-09
741349276.6459994,74.1272,8.470032477118393,1.4407406929456559e-12,2.1024051690250773e-11
615839976.3802775,74.3896,9.324623560673162,9.87502870052429e-13,1.923266372731729e-11
1027812223.2063773,68.8826,11.710067906702097,1.0450283127452896e-12,1.313124633898912e-11
2868954827.280779,87.7766,4.077649837614408,2.4056750205359617e-11,6.123417626648528e-11
729642751.6976676,60.0917,7.561116031886625,1.7793917505974093e-12,1.547709247851688e-11
1101225273.103041,84.4267,6.269855329199882,3.905658216723394e-12,3.684244195797981e-11
4718733392.38264,197.13,0.23457336876291707,1.195641928677354e-08,5.368748235161718e-09
206111603.18866253,62.3696,17.903306761145558,8.965386998215775e-14,7.041399157050038e-12
171671095.36462948,59.3155,9.378948922350162,2.720958654046193e-13,1.2157058878704348e-11
1852657218.7776794,86.4727,5.483170947741364,8.591413200002605e-12,4.4194940388128575e-11
4100664304.69442,101.423,1.725420726306466,1.9204247850280883e-10,1.9320759464189615e-10
505462060.82078534,70.6127,11.987304399173311,4.904317769718084e-13,1.3480015805725721e-11
1008429288.4558606,71.764,5.919102450546206,4.01297858755374e-12,2.819705279897194e-11
849896663.7142013,70.0072,14.08281665190434,5.974756080891493e-13,1.1278262288827734e-11
161027457.92736936,65.0752,11.927959846471804,1.5779771343862236e-13,1.1505649877108358e-11
616814289.9320933,75.0226,10.265426631237084,8.160814865030078e-13,1.7768612580664612e-11
4893297903.749631,145.296,0.47874224977856505,2.9766738309065136e-09,1.4290645951850286e-09
264496604.66489518,56.5266,11.523914968999115,2.776854451953204e-13,8.985701394925565e-12
442072630.6465899,66.4891,9.012105107764985,7.588819744107133e-13,1.5897211783572055e-11
774726896.9589608,78.557,6.122970180100384,2.8810941532258252e-12,3.266283935582214e-11
